Phase One,,,,,,,,,,,
"Brock Rumlow ""Crossbones""",Frank Grillo,,,,,,,,,Frank Grillo,
"Taneleer Tivan ""The Collector""",,,,,,,Benicio del Toro,,,,
Yondu Udonta,,,Michael Rooker,,,,,,,,
"Hope van Dyne ""Wasp"" ",,,,,,,,Evangeline Lilly,,Evangeline Lilly,
Janet van Dyne  ,,,,,,,,Michelle Pfeifer,,Michelle Pfeifer,
Vision ,Paul Bettany ,,,,,,Paul Bettany,,,,
"Sam Wilson ""Falcon""",Anthony Mackie,,,,,,Anthony Mackie,,,Anthony Mackie,
Introduced in Captain America: Civil War ,,,,,,,,,,,
Ayo,Florence Kasumba,,,,,Florence Kasumba,Florence Kasumba,,,,
T'Chaka,John Kani,,,,,John Kani ,,,,,
"T'Challa ""Black Panther ",Chadwick Boseman,,,,,Chadwick Boseman,Chadwick Boseman,,,Chadwick Boseman,
May Parker ,Marisa Tomei ,,,,,,,,,Marisa Tomei,Marisa Tomei 
"Peter Parker ""Spider Man""",Tom Holland ,,,Tom Holland ,,,Tom Holland ,,,Tom Holland,Tom Holland
Everret K. Ross ,Maritin Freeman ,,,,,,,,Martin Freeman,,
Miriam Sharpe ,Alfre Woodard ,,,,,,,,,,
Maria Stark ,Hope Davis ,,,,,,,,,,
Helmut Zemo ,Daniel Bruhl,,,,,,,,,,
Introduced in Doctor Strange ,,,,,,,,,,,
Ancient One ,,Tilda Swinton ,,,,,,,,Tilda Swinton ,
Dormammu ,,Benedict Cumberbatch ,,,,,,,,,
Daniel Drumm  ,,Mark Anthony Brighton ,,,,,,,,,
Hamir ,,Topo Wrensniwiro,,,,,,,,,
Kaecilius ,,Mad Mikkelsen ,,,,,,,,,
Lucian Aster ,,Scott Atkins,,,,,,,,,
Tina Minoru ,,Linda Louise Duan,,,,,,,,,
Karl Mondo ,,Chiwetel Ejiofor,,,,,,,,,
Christine Palmer ,,Rachel McAdams,,,,,,,,,
Jonathan Pangborn ,,Benjamin Bratt,,,,,,,,,
Stephen Strange ,,Benedict Cumberbatch ,,,Benedict Cumberbatch ,,Benedict Cumberbatch ,,,Benedict Cumberbatch ,
Nicodemus West,,Michael Stuhlbarg,,,,,,,,,
Wong ,,Benedict Wong ,,,,,Benedict Wong ,,,Benedict Wong,
Introduced in Guardians of the Galaxy Vol. 2 ,,,,,,,,,,,
Ayesha,,,Elizabeth Debicki ,,,,,,,,
Brahl,,,Stephen Blackehart ,,,,,,,,
Charlie-27 ,,,Ving Rhames ,,,,,,,,
Ego ,,,Kurt Russell,,,,,,,,
Gef the Ravager ,,,Steve Agee ,,,,,,,,
Half-Nut ,,,Jimmy Urine ,,,,,,,,
Mainframe ,,,Miley Cyrus ,,,,,,,,
Mantis ,,,Pom Klementief,,,,Pom Klementieff,,,Pom Klementieff,
Martinex,,,Michael Rosenbaum,,,,,,,,
Narblink,,,Terrence Rosemore ,,,,,,,,
Oblo,,,Joe Fria ,,,,,,,,
Aleta Ogord,,,Michelle Yeoh ,,,,,,,,
Stakar Ogord,,,Sylvester Stallone ,,,,,,,,
Retch,,,Evan Jones ,,,,,,,,
